epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6811,1.84462,3.96803,1.41114,0.00308,0.34365,0.06436,0.0219,2.15801,4.67948,1.27073,0.00062963,0.00062963,0.00062963
2,132.687,1.9992,3.04986,1.41439,0.00236,0.26316,0.01947,0.0046,2.48295,5.19746,1.4325,0.00123213,0.00123213,0.00123213
3,198.775,2.02667,3.02102,1.45224,0.06116,0.07121,0.02285,0.00734,2.43828,5.36451,1.57156,0.00176863,0.00176863,0.00176863
4,265.333,2.11601,2.91433,1.49572,0.01114,0.00619,0.00074,0.00026,2.57267,6.97832,1.95308,0.001703,0.001703,0.001703
5,335.154,2.18317,2.80225,1.44857,0.02523,0.03715,0.00753,0.0023,2.59022,13.6361,1.67815,0.001604,0.001604,0.001604
6,401.17,2.2454,3.00247,1.46533,0.04035,0.0805,0.00743,0.00252,2.63731,5.29085,1.67759,0.001505,0.001505,0.001505
7,465.385,2.16665,2.85747,1.36995,0.33469,0.09598,0.08468,0.03564,2.74883,5.00169,1.64612,0.001406,0.001406,0.001406
8,526.899,2.1808,2.52263,1.45473,0.14466,0.12384,0.06022,0.0276,2.63667,27.0247,1.64184,0.001307,0.001307,0.001307
9,588.178,2.09985,2.49014,1.43037,0.05173,0.14551,0.01867,0.0077,2.46128,7.91596,1.57461,0.001208,0.001208,0.001208
10,656.28,1.95207,2.45552,1.32041,0.22094,0.15789,0.08349,0.03572,2.38344,5.47746,1.48677,0.001109,0.001109,0.001109
11,717.504,2.03555,2.9095,1.36936,0.18738,0.09907,0.04856,0.02304,2.44794,5.09635,1.48329,0.00101,0.00101,0.00101
12,777.448,2.06706,2.82621,1.30076,0.12713,0.10836,0.03529,0.01429,2.47012,5.16014,1.47946,0.000911,0.000911,0.000911
13,838.281,1.91485,2.67668,1.28014,0.2848,0.17647,0.10637,0.04728,2.44939,3.95866,1.45838,0.000812,0.000812,0.000812
14,900.615,2.04778,2.80861,1.3043,0.46945,0.1517,0.14304,0.06064,2.52662,3.65362,1.47606,0.000713,0.000713,0.000713
15,963.664,2.05287,3.00808,1.30807,0.31508,0.20124,0.13212,0.06189,2.41336,3.97266,1.43116,0.000614,0.000614,0.000614
16,1025.54,1.97343,2.57273,1.37948,0.34576,0.18266,0.1459,0.07347,2.39754,3.5254,1.42885,0.000515,0.000515,0.000515
17,1088.07,1.89103,2.54095,1.25893,0.43789,0.17647,0.15523,0.06697,2.46705,3.33141,1.43094,0.000416,0.000416,0.000416
18,1150.61,1.80153,2.466,1.19719,0.41977,0.18576,0.1676,0.0772,2.40496,3.24334,1.41042,0.000317,0.000317,0.000317
19,1218.93,1.80331,2.39769,1.17998,0.4065,0.18885,0.17883,0.08365,2.3705,3.13399,1.4046,0.000218,0.000218,0.000218
20,1291.37,1.69991,2.23477,1.18091,0.3816,0.18885,0.17044,0.08645,2.35259,3.11846,1.3898,0.000119,0.000119,0.000119
